institution_abbrev,institution_name
UBC,University of British Columbia
Waterloo,University of Waterloo
UdeM,Universite de Montreal
McGill,McGill University
UQAM,Universite du Quebec a Montreal
Regina,University of Regina
UBCO,University of British Columbia
UofT,University of Toronto
Manitoba,University of Manitoba
WLU,Wilfrid Laurier University
Alberta,University of Alberta
Guelph,University of Guelph
Carleton,Carleton University
Queens,Queen's University
SFU,Simon Fraser University
Toronto,University of Toronto
Montreal,Universite de Montreal
